"slug","source","display_path","thumbnail_path","display_width","display_height","display_bytes","thumbnail_width","thumbnail_height","thumbnail_bytes"
"adzarski-hacapuri","34_photo_4@18-08-2026_17-12-57.jpg","/media/menu/adzarski-hacapuri.jpg","/media/menu/adzarski-hacapuri_thumb.jpg","960","540","54577","480","270","15714"
"megrelski-hacapuri","15_photo_22@18-08-2026_17-12-57.jpg","/media/menu/megrelski-hacapuri.jpg","/media/menu/megrelski-hacapuri_thumb.jpg","960","540","91718","480","270","25114"
"adzahuri-sa-mesom","01_photo_1@18-08-2026_17-12-57.jpg","/media/menu/adzahuri-sa-mesom.jpg","/media/menu/adzahuri-sa-mesom_thumb.jpg","960","540","71535","480","270","21085"
"ckmeruli","36_photo_6@18-08-2026_17-12-57.jpg","/media/menu/ckmeruli.jpg","/media/menu/ckmeruli_thumb.jpg","960","540","47954","480","270","15127"
"sacebeli","27_photo_33@18-08-2026_17-12-57.jpg","/media/menu/sacebeli.jpg","/media/menu/sacebeli_thumb.jpg","960","539","42953","480","270","13341"
"kremasti-sos-sa-belim-lukom","05_photo_13@18-08-2026_17-12-57.jpg","/media/menu/kremasti-sos-sa-belim-lukom.jpg","/media/menu/kremasti-sos-sa-belim-lukom_thumb.jpg","960","540","30994","480","270","9063"
"lobio-bez-mesa","13_photo_20@18-08-2026_17-12-57.jpg","/media/menu/lobio-bez-mesa.jpg","/media/menu/lobio-bez-mesa_thumb.jpg","960","540","60381","480","270","17858"
"salata-tbilisi","28_photo_34@18-08-2026_17-12-57.jpg","/media/menu/salata-tbilisi.jpg","/media/menu/salata-tbilisi_thumb.jpg","960","540","64152","480","270","19080"
"gruzijska-salata","37_photo_7@18-08-2026_17-12-57.jpg","/media/menu/gruzijska-salata.jpg","/media/menu/gruzijska-salata_thumb.jpg","960","540","62417","480","270","18818"
"rolnice-od-patlidzana","26_photo_32@18-08-2026_17-12-57.jpg","/media/menu/rolnice-od-patlidzana.jpg","/media/menu/rolnice-od-patlidzana_thumb.jpg","960","540","56827","480","270","17317"
"medovik","14_photo_21@18-08-2026_17-12-57.jpg","/media/menu/medovik.jpg","/media/menu/medovik_thumb.jpg","960","539","63123","480","270","18284"
"kolac-krompir","04_photo_12@18-08-2026_17-12-57.jpg","/media/menu/kolac-krompir.jpg","/media/menu/kolac-krompir_thumb.jpg","960","540","40674","480","270","11257"
"natakhtari-pear-05l","21_photo_28@18-08-2026_17-12-57.jpg","/media/menu/natakhtari-pear-05l.jpg","/media/menu/natakhtari-pear-05l_thumb.jpg","960","540","39621","480","270","11378"
"natakhtari-pear-1l","20_photo_27@18-08-2026_17-12-57.jpg","/media/menu/natakhtari-pear-1l.jpg","/media/menu/natakhtari-pear-1l_thumb.jpg","960","540","40294","480","270","11595"
"natakhtari-grape-05l","24_photo_30@18-08-2026_17-12-57.jpg","/media/menu/natakhtari-grape-05l.jpg","/media/menu/natakhtari-grape-05l_thumb.jpg","960","539","40444","480","270","11558"
"kombucha","03_photo_11@18-08-2026_17-12-57.jpg","/media/menu/kombucha.jpg","/media/menu/kombucha_thumb.jpg","960","540","40623","480","270","11773"
"rosa-still-water","codex-clipboard-6e7e81f6-2d1e-4d8c-ab86-cb68e215fb41.png","/media/menu/rosa-still-water.jpg","/media/menu/rosa-still-water_thumb.jpg","960","540","27314","480","270","7813"
"coca-cola-033l","codex-clipboard-03964cb5-483b-48a2-b471-2eb0cc049057.png","/media/menu/coca-cola-033l.jpg","/media/menu/coca-cola-033l_thumb.jpg","960","540","25184","480","270","8270"
"coca-cola-05l","codex-clipboard-58c1aa32-c9c1-411d-8ae4-d89a3487db18.png","/media/menu/coca-cola-05l.jpg","/media/menu/coca-cola-05l_thumb.jpg","960","540","22815","480","270","6771"
"coca-cola-1l","codex-clipboard-38097521-6dd5-4baf-a1b1-958a7fe40c31.png","/media/menu/coca-cola-1l.jpg","/media/menu/coca-cola-1l_thumb.jpg","960","540","18733","480","270","6004"
"knjaz-milos-sparkling-water","codex-clipboard-1f1c3a45-e23c-46ef-84f5-5485156d0203.png","/media/menu/knjaz-milos-sparkling-water.jpg","/media/menu/knjaz-milos-sparkling-water_thumb.jpg","960","540","18597","480","270","5471"
"family-box","codex-clipboard-4e3c848b-fc9c-48af-8903-5c9e67d6b472.png","/media/menu/family-box.jpg","/media/menu/family-box_thumb.jpg","960","640","132873","480","320","29800"
"family-box-card","codex-clipboard-7088dbbb-7eaa-4037-8bb1-67564ff136ee.png","/media/menu/family-box-card.jpg","/media/menu/family-box-card_thumb.jpg","960","640","150941","480","320","37584"
"one-and-done-card","generated from production menu photos","/media/menu/one-and-done-card.jpg","/media/menu/one-and-done-card_thumb.jpg","960","640","96859","480","320","26542"
"double-card","generated from production menu photos","/media/menu/double-card.jpg","/media/menu/double-card_thumb.jpg","960","640","206932","480","320","43638"
"sweet-duo-card","generated from production menu photos","/media/menu/sweet-duo-card.jpg","/media/menu/sweet-duo-card_thumb.jpg","960","640","141407","480","320","33922"
"veggie-card","generated from production menu photos","/media/menu/veggie-card.jpg","/media/menu/veggie-card_thumb.jpg","960","640","148381","480","320","36188"
"supra-24-card","generated from production menu photos","/media/menu/supra-24-card.jpg","/media/menu/supra-24-card_thumb.jpg","960","640","153112","480","320","37509"
"full-house-card","generated from production menu photos","/media/menu/full-house-card.jpg","/media/menu/full-house-card_thumb.jpg","960","640","130961","480","320","35732"
